asvid,DH10,DH11,DH12,DH13,DH14,DH15,DH16,DH2,DH3,DH6,DH8,DH9,taxonomy
2e38ad406954960793b88640ac007716,0,0,0,0,0,0,2,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinophyceae
3e165c8e7b67f7d65933b7d10a59162f,0,0,0,0,0,0,0,0,0,0,0,2,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Hypotrichia; g__Holosticha; s__Holosticha_heterofoissneri
c3afdbd12f270d76668fafa1b2b01d96,2,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota; k__Stramenopiles; p__Peronosporomycetes; c__Peronosporomycetes; o__Peronosporomycetes; f__Peronosporomycetes
e37b8ca1835402722ba4afcaa0b981f8,0,0,1,0,0,0,0,0,0,0,0,0,d__Eukaryota; k__Rhizaria; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured; s__uncultured_Rhizaria
d416d9ffc28827af07c6778372f30cc1,0,0,12,0,0,4,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodinium_clade
57bd2e2109390aaa2ddeb58bbe3b4a6f,0,0,0,0,0,0,0,0,0,0,0,1,d__Eukaryota
30f3ab20f2993a0dd92a582c511f84e5,0,0,0,1,0,0,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinophyceae
ad2857a01981cf73e82784951dc28481,0,0,0,0,0,22,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae
30c640f4a3734c59f2119f8e3809e417,0,7,0,0,0,0,0,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Phyllopharyngea; g__Suctoria; s__Pyropia_sp.
3e0b7128361157f23b2a5ce95220d96b,1,0,0,0,0,0,0,0,0,0,0,0,d__Eukaryota
01e4e2dfa3930538339f6a9342821669,0,0,0,0,3,0,2,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_I; g__Syndiniales_Group_I; s__uncultured_Duboscquella
c45f9bcf2c4a5362137c09024dbfb29c,0,0,0,0,2,0,2,0,0,0,0,0,d__Eukaryota; k__Stramenopiles; p__Ochrophyta; c__Eustigmatophyceae; o__Eustigmatales; f__Eustigmatales; g__phytoplankton; s__phytoplankton_environmental
83e6097776f827dc509f42896fb16b03,0,0,0,0,0,0,0,0,2,0,0,0,d__Eukaryota; k__Alveolata; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea; g__Zoothamnium
bc1492bc263f48040edfa6f4555de642,3,3,0,0,0,0,0,0,0,0,0,0,d__Eukaryota; k__Rhizaria; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured; s__uncultured_Rhizaria
1bd8ff8fd5938a4a99f08c8414fd732d,0,0,0,0,0,0,0,0,0,0,5,0,d__Eukaryota; k__Holozoa; p__Holozoa; c__Choanoflagellida; o__Craspedida; f__Salpingoecidae; g__Salpingoecidae; s__Salpingoeca_kvevrii
9db6700820f364b09879702fcefa7f15,0,0,0,0,0,0,1,0,0,0,0,0,d__Eukaryota; k__Alveolata; p__Dinoflagellata; c__Dinoflagellata; o__Noctilucales; f__Noctilucales; g__Noctilucales; s__uncultured_eukaryote
